Nama Pemohon/Institusi,Emel,No. K/P (baru)/Polis/Tentera/No. Pasport,No. Telefon Bimbit,Declared Income,Savings,Investment (Stocks/Bonds),Gold (grams),Property (number),Profession,Location,Donation Frequency,Average Donation Amount,Fraud Label (Rule-Based)
Razak bin Ismail,razak.ismail39@yahoo.com,590715-01-3833,016-24979380,11973,0,0,0,3,Accountant,Subang Jaya,5,4302.48,Not Fraud
Khairul bin Khan,khairul.khan74@hotmail.com,930111-39-3473,019-0040356,6894.79,87748.05,0,473,0,Retired,Kuala Lumpur City Centre,10,1166.75,Not Fraud
Ng binti Siew Mei,ng.siew.mei66@outlook.my,740811-38-5916,017-45495261,7418,24648.51,35837.52,0,3,Teacher,Petaling Jaya,6,2594.4,Fraud
Aminah binti Ahmad,aminah.ahmad87@yahoo.com,990313-26-6136,014-0425631,10568,43751.48,17850.26,0,0,IT Specialist,Subang Jaya,7,4097.06,Not Fraud
Lee binti Mei Ling,lee.mei.ling67@msn.com,720813-15-6918,019-1850385,14350,72036.38,198982.78,71,0,Accountant,Subang Jaya,5,4962.72,Not Fraud
Lee bin Kok Leong,lee.kok.leong96@msn.com,791125-34-9521,014-26229907,12444.3,90945.85,156648.48,0,5,Business Owner,Damansara Heights,5,2586.28,Not Fraud
Yap binti Pei Shan,yap.pei.shan40@gmail.com,760222-49-9028,010-6556114,3751.62,13790.69,78325.64,0,3,Farmer,Damansara Heights,10,4433.99,Fraud
Ong binti Xin Yi,ong.xin.yi98@hotmail.com,870831-14-1054,010-73463485,3063.33,75642.42,17927.93,219,0,Retired,Damansara Heights,12,1403.72,Not Fraud
Muhammad bin Syazwan,muhammad.syazwan36@outlook.my,980830-05-1549,017-3405987,9869,68586.09,0,357,0,Teacher,Bangsar,9,4074.55,Not Fraud
Yap binti Hui Xin,yap.hui.xin40@msn.com,060410-52-8302,016-2910072,0.0,46405.97,0,287,0,Unemployed,Kuala Lumpur City Centre,9,1925.96,Fraud
Teoh bin Jia Hao,teoh.jia.hao11@hotmail.com,780728-07-4937,019-7586272,20945.99,43927.71,83668.96,356,0,Doctor,Cheras,11,996.13,Not Fraud
Ng bin Kok Leong,ng.kok.leong44@hotmail.com,760917-14-1567,012-8813907,8825.41,13560.11,0,0,0,IT Specialist,Cheras,5,2362.42,Not Fraud
Nur binti Hafiz,nur.hafiz46@msn.com,730811-07-8878,017-8828383,6830.26,0,0,0,0,Sales Manager,Damansara Heights,1,597.76,Not Fraud
Aishah binti Muhammad,aishah.muhammad33@hotmail.com,750217-13-8332,011-40606452,13571,28214.23,0,0,0,Sales Manager,Bangsar,3,70.1,Not Fraud
Hafiz bin binti Abdullah,hafiz..abdullah83@msn.com,870325-24-5227,012-78220909,17952.56,95391.08,0,167,5,Teacher,Damansara Heights,11,489.63,Not Fraud
Azizah binti Singh,azizah.singh10@hotmail.com,751206-24-4866,013-4285779,32929.95,0,0,189,0,Engineer,Kuala Lumpur City Centre,2,3934.79,Not Fraud
Ahmad bin Ali,ahmad.ali52@hotmail.com,750503-52-6527,014-77605089,4778,73275.59,0,0,0,Retired,Bangsar,11,4766.33,Not Fraud
Aishah binti Ali,aishah.ali37@yahoo.com,830515-25-3756,012-5104509,16824.05,56692.22,147093.75,360,0,Sales Manager,Mont Kiara,7,4963.21,Not Fraud
Siti binti Ali,siti.ali99@hotmail.com,670331-46-7954,014-1721816,0.0,15664.7,57933.25,450,2,Unemployed,Kuala Lumpur City Centre,10,1892.12,Fraud
Lim binti Xin Yi,lim.xin.yi25@hotmail.com,780706-11-6284,018-94098990,6796.97,38973.32,182409.08,293,0,IT Specialist,Mont Kiara,8,1946.86,Fraud
Ng bin Wei Kang,ng.wei.kang7@yahoo.com,541129-13-7131,012-8436603,0.0,80009.6,6001.68,0,0,Unemployed,Damansara Heights,2,4751.78,Not Fraud
Goh binti Jia Yi,goh.jia.yi10@outlook.my,031223-44-8240,016-46275961,9663,18898.32,0,0,1,IT Specialist,Petaling Jaya,1,4988.78,Not Fraud
Fatimah binti Razak,fatimah.razak83@outlook.my,681015-48-7678,013-77468697,10766,47751.03,0,0,0,Doctor,Petaling Jaya,9,3002.08,Fraud
Siti binti binti Abdullah,siti..abdullah84@hotmail.com,810430-08-5944,013-06466161,8425,3105.9,0,129,0,Teacher,Subang Jaya,8,990.73,Not Fraud
Siti binti binti Abdullah,siti..abdullah7@gmail.com,740423-09-1904,014-7803521,4899.97,31916.2,0,0,0,Retired,Mont Kiara,9,3775.98,Not Fraud
Abdullah bin binti Abdullah,abdullah..abdullah28@gmail.com,820325-33-9507,010-5593935,12356.36,6584.59,0,0,0,Teacher,Damansara Heights,1,2493.23,Not Fraud
Fatimah binti Abdullah,fatimah.abdullah59@outlook.my,980806-12-5222,012-60152007,12433,64734.04,52158.83,0,0,Engineer,Bangsar,6,1879.35,Not Fraud
Siti binti Muhammad,siti.muhammad87@gmail.com,030620-15-5212,013-7737142,0.0,83023.16,159768.15,0,0,Unemployed,Mont Kiara,1,3310.97,Fraud
Azizah binti Ahmad,azizah.ahmad38@yahoo.com,740722-57-7980,019-25550675,6047,53132.23,184664.96,307,0,IT Specialist,Bangsar,6,3281.99,Not Fraud
Aminah binti Razak,aminah.razak40@msn.com,670402-47-8470,017-6425201,8140,53735.5,0,0,0,Accountant,Subang Jaya,2,1930.3,Not Fraud
Hafiz bin bin Abdullah,hafiz..abdullah35@msn.com,040103-15-7479,017-11477654,13703.76,97440.22,142386.6,223,0,Sales Manager,Mont Kiara,11,2751.62,Not Fraud
Yap binti Hui Xin,yap.hui.xin18@gmail.com,010210-56-9280,017-3423033,0,27727.56,56104.8,359,0,Unemployed,Bangsar,3,1093.73,Not Fraud
Ng bin Kok Leong,ng.kok.leong63@outlook.my,860105-02-1965,016-6725877,10915,44920.39,34272.1,72,0,Accountant,Subang Jaya,3,4373.89,Not Fraud
Chua bin Zi Xuan,chua.zi.xuan65@hotmail.com,061007-25-7709,018-22035242,8950.69,7935.15,131862.09,0,0,Teacher,Damansara Heights,2,297.81,Not Fraud
Yap binti Pei Shan,yap.pei.shan52@outlook.my,800418-10-9428,012-06036026,10520,42611.82,0,0,0,Accountant,Petaling Jaya,5,4901.18,Not Fraud
Lee bin Wei Kang,lee.wei.kang78@gmail.com,560219-56-2185,017-57158391,14447,57574.88,126208.32,0,0,Sales Manager,Subang Jaya,5,315.82,Not Fraud
Wong binti Shi Hui,wong.shi.hui37@yahoo.com,690715-45-7350,017-00851209,8298.5,36082.63,0,0,0,Sales Manager,Mont Kiara,7,3367.19,Not Fraud
Khairul bin Amirul,khairul.amirul63@msn.com,070405-35-3959,018-99535116,15192.7,0,188298.62,437,0,Accountant,Cheras,5,278.76,Not Fraud
Farah binti binti Abdullah,farah..abdullah17@outlook.my,520116-58-1298,017-5331199,15614.27,63147.2,0,0,5,Accountant,Kuala Lumpur City Centre,5,3218.64,Not Fraud
Chua bin Jia Hao,chua.jia.hao33@outlook.my,741005-44-3467,019-8499743,11522.87,27317.4,34062.81,95,0,Business Owner,Kuala Lumpur City Centre,5,2642.83,Not Fraud
Lim bin Wei Jie,lim.wei.jie51@gmail.com,781012-03-4081,016-44458209,14060,73692.92,27195.22,0,0,Doctor,Petaling Jaya,7,4142.39,Not Fraud
Aishah binti Ali,aishah.ali74@yahoo.com,060405-30-1952,018-85590782,10748.63,39530.24,149575.67,0,0,Accountant,Damansara Heights,6,2354.97,Not Fraud
Hafiz bin Hafiz,hafiz.hafiz20@hotmail.com,530613-26-4465,019-60008609,0,12697.66,17481.25,307,0,Unemployed,Bangsar,7,1087.86,Fraud
Khairul bin bin Abdullah,khairul..abdullah53@outlook.my,780821-56-4177,019-6374574,6202,0,52667.07,0,0,Farmer,Subang Jaya,5,4508.05,Not Fraud
Siti binti bin Abdullah,siti..abdullah45@hotmail.com,950125-15-6420,016-98995512,11327.71,55308.91,107642.08,0,4,IT Specialist,Mont Kiara,10,1040.03,Not Fraud
Goh binti Xin Yi,goh.xin.yi8@gmail.com,700604-14-3040,019-38080547,10460.98,54695.34,773.22,243,0,Accountant,Mont Kiara,1,3400.19,Not Fraud
Ng bin Jun Jie,ng.jun.jie31@outlook.my,611230-04-6951,011-9647103,14890.9,79341.13,0,25,0,Teacher,Kuala Lumpur City Centre,4,4938.37,Not Fraud
Teoh binti Yee Von,teoh.yee.von2@yahoo.com,841002-24-5854,010-3620042,26176.05,64124.3,0,0,0,Doctor,Kuala Lumpur City Centre,5,282.63,Not Fraud
Ong binti Shi Hui,ong.shi.hui33@msn.com,641211-52-9886,013-0115042,37404.42,90103.12,0,0,0,Engineer,Damansara Heights,1,1853.7,Not Fraud
Ali bin Ismail,ali.ismail39@outlook.my,660817-02-7123,013-0712328,11647.02,36845.42,183204.3,137,0,Doctor,Kuala Lumpur City Centre,6,4772.91,Not Fraud
Aminah binti bin Abdullah,aminah..abdullah76@yahoo.com,630128-27-4576,014-3561173,15029.9,27355.21,78807.06,0,0,Sales Manager,Damansara Heights,7,2553.7,Not Fraud
Lee bin Zi Xuan,lee.zi.xuan22@hotmail.com,940319-22-9913,018-22267577,8614.77,95982.52,0,0,0,IT Specialist,Kuala Lumpur City Centre,12,303.9,Not Fraud
Khairul bin Muhammad,khairul.muhammad41@gmail.com,860109-39-1407,010-5621596,11362,0,0,0,2,Accountant,Petaling Jaya,10,2733.37,Not Fraud
Lee binti Pei Shan,lee.pei.shan55@gmail.com,910203-28-7340,016-79398789,0.0,51870.41,44123.39,0,0,Unemployed,Mont Kiara,9,1939.68,Fraud
Nur binti Hafiz,nur.hafiz85@msn.com,030519-40-8488,011-7125853,15039.6,46411.1,109089.88,0,0,Accountant,Kuala Lumpur City Centre,10,354.36,Not Fraud
Azizah binti Abdullah,azizah.abdullah35@gmail.com,870404-55-4386,016-00088311,0,38338.18,133564.56,0,0,Unemployed,Subang Jaya,11,4663.12,Fraud
Lee bin Kok Leong,lee.kok.leong99@outlook.my,621025-24-2359,010-0409904,35330.77,50971.35,18955.06,481,1,Doctor,Mont Kiara,7,3647.76,Not Fraud
Goh bin Wei Jie,goh.wei.jie84@yahoo.com,911210-49-8217,014-0997710,13523.55,65619.84,78308.35,0,0,Teacher,Kuala Lumpur City Centre,8,2332.78,Not Fraud
Hafiz bin Syazwan,hafiz.syazwan74@outlook.my,650720-38-2805,016-58340376,16421.16,35339.27,166903.72,0,0,Accountant,Mont Kiara,7,3915.01,Not Fraud
Lim binti Yee Von,lim.yee.von48@hotmail.com,570620-30-6612,010-5259361,5260.72,44521.11,0,0,0,Retired,Cheras,11,1758.76,Not Fraud
